year,fatalities,fatal_collisions,metric,grouping,variable,geography,population,fatality_rate,fatal_collision_rate
2010,198,172,1-year average for fatal collisions,All,Region,Region,3690942,5.3644841885892545,4.660056971905817
2011,183,171,1-year average for fatal collisions,All,Region,Region,3721172,4.917805465589874,4.595326418665947
2012,209,185,1-year average for fatal collisions,All,Region,Region,3749421,5.5741939888852166,4.93409515762567
2013,176,159,1-year average for fatal collisions,All,Region,Region,3795087,4.637574843475261,4.189627273366855
2014,198,172,1-year average for fatal collisions,All,Region,Region,3857726,5.132557366697375,4.458585187232063
2015,291,239,1-year average for fatal collisions,All,Region,Region,3926769,7.410672743927641,6.086428817177684
2016,256,227,1-year average for fatal collisions,All,Region,Region,4018936,6.369845153045483,5.648261131802049
2017,234,220,1-year average for fatal collisions,All,Region,Region,4080194,5.735021423000965,5.3919004831633
2018,291,229,1-year average for fatal collisions,All,Region,Region,4149624,7.012683558799544,5.518572285103422
2019,234,224,1-year average for fatal collisions,All,Region,Region,4220357,5.544554643126162,5.307607863505386
2020,262,239,1-year average for fatal collisions,All,Region,Region,4293636,6.102054296172288,5.566377773989225
2021,345,291,1-year average for fatal collisions,All,Region,Region,4330750,7.966287594527508,6.719390405818854
2010,75,67,1-year average for fatal collisions,Unincorporated,Region,Region,1164052,6.443011136959517,5.755756615683835
2011,95,87,1-year average for fatal collisions,Unincorporated,Region,Region,1137871,8.348925317544783,7.645857922383117
2012,97,81,1-year average for fatal collisions,Unincorporated,Region,Region,1116663,8.686595687329122,7.253755161584113
2013,78,67,1-year average for fatal collisions,Unincorporated,Region,Region,1122044,6.951599046026716,5.9712453344075636
2014,83,71,1-year average for fatal collisions,Unincorporated,Region,Region,1133648,7.321496619762042,6.262966987989217
2015,141,99,1-year average for fatal collisions,Unincorporated,Region,Region,1147628,12.286211211298436,8.626488722826561
2016,105,93,1-year average for fatal collisions,Unincorporated,Region,Region,1154387,9.095736525099468,8.056223779373815
2017,97,87,1-year average for fatal collisions,Unincorporated,Region,Region,1171201,8.282096753674221,7.4282723460789395
2018,115,93,1-year average for fatal collisions,Unincorporated,Region,Region,1190339,9.661113346702074,7.81290035863733
2019,86,80,1-year average for fatal collisions,Unincorporated,Region,Region,1208796,7.1145172551861515,6.618155586219676
2020,97,89,1-year average for fatal collisions,Unincorporated,Region,Region,1223949,7.925166816591214,7.271544811099155
2021,135,113,1-year average for fatal collisions,Unincorporated,Region,Region,1234660,10.934184309850485,9.15231723713411
2010,123,105,1-year average for fatal collisions,Incorporated,Region,Region,2526890,4.867643625167696,4.155305533679741
2011,88,84,1-year average for fatal collisions,Incorporated,Region,Region,2583301,3.406494249024794,3.251653601341849
2012,112,104,1-year average for fatal collisions,Incorporated,Region,Region,2632758,4.254093995726155,3.950230138888572
2013,98,92,1-year average for fatal collisions,Incorporated,Region,Region,2673043,3.666233577237628,3.4417702969985893
2014,115,101,1-year average for fatal collisions,Incorporated,Region,Region,2724078,4.221611862802754,3.7076765055919836
2015,150,140,1-year average for fatal collisions,Incorporated,Region,Region,2779141,5.397351195927087,5.037527782865281
2016,151,134,1-year average for fatal collisions,Incorporated,Region,Region,2864549,5.271335906629631,4.677874248267354
2017,137,133,1-year average for fatal collisions,Incorporated,Region,Region,2908993,4.709533505237036,4.572028877346903
2018,176,136,1-year average for fatal collisions,Incorporated,Region,Region,2959285,5.9473825603144,4.595704705697491
2019,148,144,1-year average for fatal collisions,Incorporated,Region,Region,3011561,4.914394893545241,4.78157340993591
2020,165,150,1-year average for fatal collisions,Incorporated,Region,Region,3069687,5.37514085312281,4.8864916846571
2021,210,178,1-year average for fatal collisions,Incorporated,Region,Region,3096090,6.782748563510751,5.749186877642446
2010,103,83,1-year average for fatal collisions,All,County,King County,1931249,5.333336094931311,4.297736853197076
2010,14,14,1-year average for fatal collisions,All,County,Kitsap County,251133,5.5747352996221124,5.5747352996221124
2010,49,45,1-year average for fatal collisions,All,County,Pierce County,795225,6.161778113112641,5.658775818164671
2010,32,30,1-year average for fatal collisions,All,County,Snohomish County,713335,4.485970827170965,4.205597650472779
2011,74,70,1-year average for fatal collisions,All,County,King County,1945686,3.80328583337702,3.5977028153566404
2011,23,21,1-year average for fatal collisions,All,County,Kitsap County,250422,9.184496569790193,8.385844694156264
